rank,run,checkpoint,step,exact_memorization,extraction_strength,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_quality,forget_truth_ratio,model_utility,privleak,checkpoint_path,summary_path,composite_score
390,lr2e-5_b32_mb8_ga4_a1.0_beta3.5_delta0_gamma0.125_e10,checkpoint-56,56,0.9498528125882147,0.4958915844449217,0.7029218507558107,0.6988815255110492,6.540866008411473e-13,0.5194498036510713,0.6104391388738379,-97.7531986900334,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b32_mb8_ga4_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-56,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b32_mb8_ga4_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-56/evals/TOFU_SUMMARY.json,0.32560575781729917
391,lr2e-5_b32_mb8_ga4_a1.0_beta4.5_delta0_gamma0.25_e10,checkpoint-14,14,0.9623873168230056,0.6116842914740367,0.8156194114685058,0.7377673938003434,5.86730162802883e-14,0.5144026339830395,0.6194670795591606,-99.14444271633351,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b32_mb8_ga4_a1.0_beta4.5_delta0_gamma0.25_e10/checkpoint-14,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b32_mb8_ga4_a1.0_beta4.5_delta0_gamma0.25_e10/checkpoint-14/evals/TOFU_SUMMARY.json,0.32548262261623745
392,lr2e-5_b32_mb8_ga4_a1.0_beta3.5_delta0_gamma0.125_e10,checkpoint-60,60,0.9496222427487372,0.4940615190854446,0.7024669444561005,0.7041941840415069,6.540866008411473e-13,0.5196439892025362,0.6104982835723866,-97.74934482846471,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b32_mb8_ga4_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-60,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b32_mb8_ga4_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-60/evals/TOFU_SUMMARY.json,0.32538558814606855
393,lr2e-5_b32_mb8_ga4_a1.0_beta3.5_delta0_gamma0.125_e10,checkpoint-42,42,0.9528648760914804,0.5144975412477346,0.7231669509410859,0.7070309614524161,1.427569962153298e-12,0.5190073050399004,0.6112160508116794,-98.0576537539606,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b32_mb8_ga4_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-42,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b32_mb8_ga4_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-42/evals/TOFU_SUMMARY.json,0.32226050518836463
394,lr5e-5_b32_mb8_ga4_a1.0_beta4.5_delta1_gamma0.125_e10,checkpoint-7,7,0.9162935665249824,0.4017962692491512,0.6742265355959535,0.50462121232656,6.540866008411473e-13,0.5182573686256646,0.5962540459929762,-97.14043470061038,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b32_mb8_ga4_a1.0_beta4.5_delta1_gamma0.125_e10/checkpoint-7,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b32_mb8_ga4_a1.0_beta4.5_delta1_gamma0.125_e10/checkpoint-7/evals/TOFU_SUMMARY.json,0.3218165332625696
395,lr2e-5_b32_mb8_ga4_a1.0_beta3.5_delta0_gamma0.125_e10,checkpoint-49,49,0.9505322682857512,0.4994610288893661,0.7083870776742697,0.7038292466208367,6.540866008411473e-13,0.5198132698961824,0.6097772367464622,-97.8071527519952,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b32_mb8_ga4_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-49,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b32_mb8_ga4_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-49/evals/TOFU_SUMMARY.json,0.3211658434238014
396,lr2e-5_b16_mb8_ga2_a1.0_beta4.5_delta1_gamma0.25_e10,checkpoint-13,13,0.9780582848191262,0.7615715949527017,0.8992910715937614,0.7950823049903067,1.3261055712130201e-13,0.5098491523057409,0.6285509821197153,-99.70710650536348,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta4.5_delta1_gamma0.25_e10/checkpoint-13,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta4.5_delta1_gamma0.25_e10/checkpoint-13/evals/TOFU_SUMMARY.json,0.3211212867724747
397,lr2e-5_b32_mb8_ga4_a1.0_beta4.5_delta0_gamma0.125_e10,checkpoint-56,56,0.9535993844270706,0.5050497495279194,0.7343711040914058,0.7138328427099264,6.540866008411473e-13,0.5166448972745061,0.6104803794638921,-98.58563278887227,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b32_mb8_ga4_a1.0_beta4.5_delta0_gamma0.125_e10/checkpoint-56,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b32_mb8_ga4_a1.0_beta4.5_delta0_gamma0.125_e10/checkpoint-56/evals/TOFU_SUMMARY.json,0.3182237225438087
398,lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.25_e10,checkpoint-13,13,0.9782879975438118,0.7600136866988767,0.8995347367227078,0.7994712822080752,1.3261055712130201e-13,0.5085247687507335,0.6278529593925918,-99.71866809006956,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.25_e10/checkpoint-13,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.25_e10/checkpoint-13/evals/TOFU_SUMMARY.json,0.3179134345872085
399,lr2e-5_b32_mb8_ga4_a1.0_beta3.5_delta0_gamma0.125_e10,checkpoint-35,35,0.957170000076294,0.544743369016902,0.7552522258460521,0.7250510366626436,6.540866008411473e-13,0.519129896766047,0.6125615117258291,-98.41220901828083,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b32_mb8_ga4_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-35,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b32_mb8_ga4_a1.0_beta3.5_delta0_gamma0.125_e10/checkpoint-35/evals/TOFU_SUMMARY.json,0.31667212982813514
400,lr2e-5_b32_mb8_ga4_a1.0_beta4.5_delta0_gamma0.125_e10,checkpoint-49,49,0.9538826456665992,0.5086191939723639,0.7389295344054699,0.7136031637399516,6.540866008411473e-13,0.516973706994688,0.6099160414520363,-98.65500229710882,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b32_mb8_ga4_a1.0_beta4.5_delta0_gamma0.125_e10/checkpoint-49,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr2e-5_b32_mb8_ga4_a1.0_beta4.5_delta0_gamma0.125_e10/checkpoint-49/evals/TOFU_SUMMARY.json,0.3151014856249414
