run,lr,batch,checkpoint,step,exact_memorization,extraction_strength,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_quality,forget_truth_ratio,model_utility,privleak
lr5e-5_b32_mb8_ga4_e10,5e-5,32,checkpoint-7,7,0.7499705210328103,0.12568321156754828,0.2833898220211267,0.40040398067614097,1.1150402145378719e-05,0.6792145685026721,0.5179592226081358,-72.38708184486094
lr6e-5_b16_mb8_ga2_e10,6e-5,16,checkpoint-104,104,0.4877458422631025,0.04996534976328665,0.03247991897382698,0.18305584125646981,0.004304993380033157,0.6829940958119998,0.5346783756935809,50.832434091131105
lr6e-5_b16_mb8_ga2_e10,6e-5,16,checkpoint-117,117,0.48841486968100073,0.05105722131711472,0.0325269856188617,0.1805032254386797,0.004304993380033157,0.6824600246931826,0.5357086095170761,50.82472636799371
lr6e-5_b16_mb8_ga2_e10,6e-5,16,checkpoint-120,120,0.4885690668225288,0.05061912999667047,0.03255309993175482,0.18064992077271178,0.004304993380033157,0.6826217894736064,0.535655299623838,50.832434091131105
lr6e-5_b16_mb8_ga2_e10,6e-5,16,checkpoint-13,13,0.6374174486100673,0.07532581705676492,0.1380748889828101,0.3578640010891067,0.06801920461119272,0.7223907819973061,0.4806830029366583,-9.029597655460218
lr6e-5_b16_mb8_ga2_e10,6e-5,16,checkpoint-26,26,0.4775610955059528,0.04813812395458683,0.02885658486387724,0.2135094353698016,0.006094418258803505,0.6850484512529883,0.5322160991678277,50.339139810337706
lr6e-5_b16_mb8_ga2_e10,6e-5,16,checkpoint-39,39,0.45022151147946715,0.04415065943761475,0.027211214681921475,0.21882850311982088,0.0002829222008740643,0.6850524102491619,0.5225169612211322,51.310312925649704
lr6e-5_b16_mb8_ga2_e10,6e-5,16,checkpoint-52,52,0.49212277030572293,0.05144371415031582,0.032623561115287136,0.20770384826828228,0.0009668691315127085,0.681050596919948,0.5122543496659859,50.91721904564247
lr6e-5_b16_mb8_ga2_e10,6e-5,16,checkpoint-65,65,0.49281104998663067,0.04789667347355763,0.036907916674786205,0.1686374391421451,0.006094418258803505,0.6882345312124771,0.5156821290018448,51.086788954665195
lr6e-5_b16_mb8_ga2_e10,6e-5,16,checkpoint-78,78,0.48401971386745574,0.04576083298516601,0.03304613082048005,0.18396423394830655,0.0030098470801667434,0.6847695524015492,0.5306044995905698,51.163866186039165
lr6e-5_b16_mb8_ga2_e10,6e-5,16,checkpoint-91,91,0.48734355442225935,0.04776140792260709,0.03226879442742311,0.18863415621879903,0.0020827633834865906,0.6850150799195053,0.5336151480079359,51.02512716956602
lr6e-5_b32_mb8_ga4_e10,6e-5,32,checkpoint-14,14,0.5140517725795507,0.048769619666192324,0.05162599815204885,0.23115537781668002,0.006094418258803505,0.7166727993152116,0.5224621317641422,47.31000461734082
lr6e-5_b32_mb8_ga4_e10,6e-5,32,checkpoint-21,21,0.4579340523667634,0.05051170556639493,0.03551476192826612,0.185829732787212,0.004304993380033157,0.6966842949684822,0.5523941170135294,48.49699398049992
