run,checkpoint,step,exact_memorization,extraction_strength,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_quality,forget_truth_ratio,model_utility,privleak,checkpoint_path,summary_path
lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10,checkpoint-65,65,0.7708058987557888,0.11539034139475099,0.23966009849216788,0.3723492748497387,4.7487878961137165e-05,0.6196812241185493,0.5991067461413264,-41.38661938625148,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10/checkpoint-65,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10/checkpoint-65/evals/TOFU_SUMMARY.json
lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10,checkpoint-78,78,0.7642625606060028,0.11297401553977895,0.21430911449249834,0.36289285252373055,7.536785951251345e-05,0.6167950674321149,0.6043978949419685,-37.56358871010274,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10/checkpoint-78,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10/checkpoint-78/evals/TOFU_SUMMARY.json
lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10,checkpoint-91,91,0.7683913673460484,0.11430612486465332,0.21644841666333378,0.3638563153864433,4.7487878961137165e-05,0.6215432055414322,0.6035482006385395,-36.70417758028301,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10/checkpoint-91,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10/checkpoint-91/evals/TOFU_SUMMARY.json
lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10,checkpoint-104,104,0.7682303574681282,0.11330085060660662,0.212547976821661,0.36631224305327253,7.536785951251345e-05,0.6228293955894368,0.6020740496660494,-35.363033754375984,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10/checkpoint-104,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10/checkpoint-104/evals/TOFU_SUMMARY.json
lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10,checkpoint-117,117,0.7679140481352806,0.11319089974369724,0.21086533470079302,0.3708523022175474,0.0001183661896190048,0.6233469337930708,0.6017340233750501,-35.016186213193116,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10/checkpoint-117,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10/checkpoint-117/evals/TOFU_SUMMARY.json
lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10,checkpoint-120,120,0.7680008772015572,0.11273344710043746,0.2109035588800907,0.37189859976230255,0.0001183661896190048,0.6237896445738313,0.601845961530457,-35.02004007476182,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10/checkpoint-120,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta0_gamma0.25_e10/checkpoint-120/evals/TOFU_SUMMARY.json
lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.125_e10,checkpoint-13,13,0.9057244905829429,0.37238890576542233,0.6470809739315883,0.5373751406978694,6.5689645859369454e-12,0.5337116918974555,0.5876373785861678,-91.19392630010886,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.125_e10/checkpoint-13,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.125_e10/checkpoint-13/evals/TOFU_SUMMARY.json
lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.125_e10,checkpoint-26,26,0.7174112339317799,0.10548479366707213,0.18194763760242494,0.3380150199574284,0.016258459276759563,0.6251237044904755,0.5837067176132348,-8.497764758979855,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.125_e10/checkpoint-26,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.125_e10/checkpoint-26/evals/TOFU_SUMMARY.json
lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.125_e10,checkpoint-39,39,0.6543101799488068,0.07736197105722073,0.07378329285264044,0.2690016361217171,0.0878382826713132,0.6270982133732776,0.5936256580599377,34.98150145907483,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.125_e10/checkpoint-39,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.125_e10/checkpoint-39/evals/TOFU_SUMMARY.json
lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.125_e10,checkpoint-52,52,0.6375566556677222,0.075916509006463,0.06608269544542374,0.2654434817656086,0.2704743832803917,0.6282191614847213,0.5851320952620791,41.35964235527059,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.125_e10/checkpoint-52,saves/unlearn/tofu/forget05/Llama-2-7b-chat-hf/SimNPO/lr5e-5_b16_mb8_ga2_a1.0_beta3.5_delta1_gamma0.125_e10/checkpoint-52/evals/TOFU_SUMMARY.json
